fund_symbol,inception_date,fund_net_annual_expense_ratio,fund_yield,fund_return_3years,fund_r_squared_3years,fund_standard_deviation_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,rating,risk_rating,return_rating,investment_type,size_type,median_market_cap,net_asset_value,fund_return_ytd
AAAAX,2007-07-29,1.22,1.22,3.03,85.8,12.46,0.18,1.32,-2.51,1.09,0.31,3.0,3.0,3.0,Blend,Large,18592.11,697910000.0,-7.6
AAADX,2011-12-29,1.43,2.8,9.71,87.23,8.46,0.93,6.82,0.17,1.17,0.8,4.0,5.0,5.0,Blend,Large,168478.91,89380000.0,0.3
AAAGX,1999-10-28,1.12,0.0,19.44,90.82,19.81,0.92,16.87,7.68,1.06,1.65,3.0,4.0,3.0,Growth,Large,340488.16,1490000000.0,24.2
AAAIX,2000-07-31,0.63,1.77,6.79,98.48,14.93,0.41,3.7,0.07,1.41,0.64,4.0,3.0,4.0,Blend,Large,29418.97,707250000.0,3.17
AAANX,2012-01-30,1.45,0.69,3.04,95.21,18.26,0.17,0.86,-4.19,1.69,0.39,3.0,5.0,4.0,Blend,Large,56230.3,495510000.0,-3.26
AAAPX,2007-07-29,1.97,0.45,2.26,85.68,12.4,0.12,0.62,-3.24,1.09,0.25,2.0,3.0,2.0,Blend,Large,18592.11,697910000.0,-8.2
AAAQX,2011-05-31,1.47,0.95,2.76,85.64,12.41,0.16,1.08,-2.75,1.09,0.29,3.0,3.0,3.0,Blend,Large,18592.11,697910000.0,-7.88
AAARX,2005-03-30,1.33,1.06,6.03,98.41,14.96,0.36,3.15,-0.65,1.41,0.58,3.0,3.0,4.0,Blend,Large,29418.97,707250000.0,2.57
AAASX,2007-07-29,1.07,1.38,3.16,85.77,12.45,0.19,1.44,-2.38,1.09,0.32,3.0,3.0,3.0,Blend,Large,18592.11,697910000.0,-7.54
AAATX,2007-01-31,0.67,1.98,4.38,97.97,6.73,0.44,4.41,0.22,0.63,0.38,3.0,3.0,2.0,Value,Large,88395.56,3840000000.0,1.52
AAAUX,2013-07-25,0.48,1.92,6.94,98.52,14.93,0.42,3.8,0.21,1.41,0.65,4.0,3.0,4.0,Blend,Large,29418.97,707250000.0,3.32
AAAVX,2014-11-27,0.95,1.5,3.28,85.8,12.4,0.2,1.56,-2.24,1.09,0.33,3.0,3.0,3.0,Blend,Large,18592.11,697910000.0,-7.51
AAAWX,2017-06-04,1.22,1.22,3.03,85.58,12.44,0.18,1.32,-2.5,1.09,0.31,3.0,3.0,4.0,Blend,Large,18592.11,697910000.0,-7.7
AAAZX,2007-07-29,0.95,1.5,3.28,85.95,12.4,0.2,1.56,-2.25,1.09,0.33,3.0,3.0,3.0,Blend,Large,18592.11,697910000.0,-7.51
AABAX,2011-05-01,1.22,1.19,5.64,97.18,9.52,0.46,4.55,0.54,0.89,0.5,3.0,1.0,3.0,Blend,Large,85255.66,46540000.0,3.06
AABCX,1994-08-31,1.73,0.98,3.42,97.49,11.59,0.21,1.69,-2.21,1.09,0.34,3.0,3.0,3.0,Blend,Large,80027.44,2550000000.0,0.49
AABFX,1997-12-28,1.06,1.99,3.36,96.07,11.78,0.21,1.62,-2.28,1.1,0.33,3.0,5.0,4.0,Blend,Large,46792.92,343780000.0,-2.09
AABPX,1994-07-31,0.97,1.52,2.05,94.62,13.61,0.1,0.37,-4.0,1.25,0.25,3.0,4.0,3.0,Value,Large,41170.13,172850000.0,-7.87
AABTX,2007-01-31,0.66,1.98,4.59,98.21,7.42,0.43,4.3,0.19,0.7,0.4,3.0,2.0,3.0,Value,Large,89333.07,5310000000.0,1.35
AABUX,2016-04-25,0.65,3.66,8.78,99.15,17.63,0.47,6.84,-2.02,1.04,0.83,3.0,3.0,3.0,Blend,Large,116068.98,30300000.0,-4.86
AACBX,2014-12-30,1.9,0.61,4.9,97.24,9.57,0.38,3.69,-0.19,0.9,0.44,3.0,1.0,2.0,Blend,Large,85255.66,46540000.0,2.37
AACCX,2004-09-29,1.86,0.23,4.33,97.62,9.15,0.34,3.19,-0.61,0.86,0.39,3.0,3.0,3.0,Blend,Large,30571.21,386580000.0,3.17
AACDX,2013-07-25,0.51,1.34,5.78,97.96,9.12,0.49,4.89,0.78,0.86,0.5,4.0,3.0,4.0,Blend,Large,30571.21,386580000.0,4.3
AACFX,2006-03-30,1.76,0.86,6.87,58.93,17.02,0.38,6.56,6.87,0.81,0.67,3.0,2.0,3.0,Growth,Large,31990.4,81190000.0,20.68
AACGX,2017-04-09,0.66,1.19,5.56,98.03,9.21,0.46,4.58,0.54,0.87,0.49,4.0,3.0,4.0,Blend,Large,30571.21,386580000.0,4.0
AACIX,2005-11-29,0.93,1.96,-4.64,85.46,26.55,-0.1,-4.54,-16.2,1.37,-0.08,2.0,5.0,2.0,Value,Medium,7774.75,288930000.0,-18.23
AACOX,2014-12-30,2.07,0.24,-0.59,87.06,14.55,-0.08,-1.69,-6.66,1.29,0.04,1.0,3.0,1.0,Growth,Large,24007.22,34180000.0,1.36
AACRX,2005-03-30,1.36,0.51,4.79,97.85,9.18,0.38,3.72,-0.18,0.86,0.43,3.0,3.0,3.0,Blend,Large,30571.21,386580000.0,3.47
AACTX,2007-01-31,0.66,1.8,5.06,98.29,7.91,0.46,4.66,0.47,0.74,0.44,4.0,3.0,4.0,Value,Large,92934.28,16800000000.0,2.01
AADAX,2004-04-29,1.07,1.29,3.07,98.55,14.37,0.17,1.1,-3.33,1.35,0.34,3.0,3.0,2.0,Blend,Medium,13810.62,933350000.0,-3.17
AADBX,1987-07-16,0.66,1.53,2.34,94.67,13.6,0.12,0.6,-3.72,1.25,0.27,3.0,4.0,3.0,Value,Large,41170.13,172850000.0,-7.7
AADCX,2004-04-29,1.82,0.6,2.27,98.58,14.34,0.12,0.5,-4.11,1.35,0.27,2.0,3.0,2.0,Blend,Medium,13810.62,933350000.0,-3.77
AADDX,2008-11-04,1.18,3.08,9.99,87.16,8.46,0.96,7.06,0.43,1.17,0.83,5.0,5.0,5.0,Blend,Large,168478.91,89380000.0,0.3
AADEX,1987-07-16,0.63,2.43,0.47,92.18,20.77,0.05,-1.0,-10.01,1.12,0.22,3.0,4.0,3.0,Value,Large,52853.51,3790000000.0,-14.68
AADGX,2016-03-31,1.0,1.21,3.51,87.14,18.79,0.2,1.96,-6.1,0.98,0.44,3.0,2.0,3.0,Blend,Medium,13177.35,57160000.0,-5.15
AADIX,2004-04-29,0.73,1.62,3.4,98.58,14.32,0.2,1.34,-3.0,1.35,0.36,3.0,3.0,3.0,Blend,Medium,13810.62,933350000.0,-2.9
AADRX,2004-04-29,1.32,1.04,2.8,98.57,14.33,0.15,0.9,-3.58,1.35,0.32,2.0,3.0,2.0,Blend,Medium,13810.62,933350000.0,-3.37
AADSX,2009-09-24,0.97,1.39,3.16,98.54,14.36,0.18,1.16,-3.24,1.35,0.35,3.0,3.0,2.0,Blend,Medium,13810.62,933350000.0,-3.11
AADTX,2007-01-31,0.69,1.4,5.95,97.93,9.39,0.49,4.94,0.85,0.88,0.52,5.0,3.0,5.0,Blend,Large,95651.18,26220000000.0,3.13
AADYX,2008-10-02,0.82,1.54,3.3,98.57,14.32,0.19,1.27,-3.09,1.35,0.36,3.0,3.0,3.0,Blend,Medium,13810.62,933350000.0,-2.99
AAEMX,2010-12-28,1.55,4.07,4.78,85.51,19.84,0.25,2.82,5.56,1.13,0.55,4.0,3.0,4.0,Growth,Large,22247.27,21620000.0,16.06
AAERX,2017-02-27,0.69,3.7,-6.23,94.78,18.52,-0.34,-7.06,-5.75,1.11,-0.39,3.0,4.0,3.0,Value,Large,37586.17,2050000000.0,-20.13
AAESX,2017-04-03,0.73,1.62,3.38,98.59,14.38,0.19,1.32,-3.04,1.36,0.36,3.0,3.0,3.0,Blend,Medium,13810.62,933350000.0,-2.97
AAETX,2007-01-31,0.71,1.27,6.34,98.02,11.14,0.46,4.53,0.69,1.05,0.56,5.0,3.0,5.0,Blend,Large,84321.01,28990000000.0,2.77
AAFTX,2007-01-31,0.72,1.05,7.02,98.02,13.43,0.45,4.3,0.69,1.26,0.64,5.0,3.0,5.0,Blend,Large,77004.44,23870000000.0,2.79
AAGOX,1989-01-08,0.89,0.0,22.13,81.4,20.92,0.98,19.4,10.15,1.06,1.86,4.0,4.0,4.0,Growth,Large,168122.89,368180000.0,39.99
AAGPX,1994-07-31,0.96,2.24,0.14,92.2,20.73,0.04,-1.3,-10.33,1.11,0.19,2.0,4.0,3.0,Value,Large,52853.51,3790000000.0,-14.89
AAGTX,2007-01-31,0.73,0.95,7.24,98.08,14.37,0.45,4.18,0.64,1.35,0.67,5.0,2.0,5.0,Blend,Large,73378.72,20810000000.0,2.72
AAHMX,2013-05-30,0.9,2.85,2.16,76.31,3.19,0.2,0.83,-1.13,0.69,0.18,1.0,1.0,1.0,Value,Small,0.0,292660000.0,-0.22
AAHTX,2007-01-31,0.72,0.9,7.34,97.99,14.68,0.45,4.17,0.67,1.38,0.68,5.0,2.0,5.0,Blend,Large,73865.65,16080000000.0,2.73
AAHYX,1997-01-07,1.0,2.55,3.41,92.86,8.29,0.26,2.4,-1.13,0.76,0.31,3.0,3.0,3.0,Blend,Large,44795.88,1040000000.0,-0.3
AAIEX,1991-08-06,0.73,3.67,-6.31,94.89,18.51,-0.34,-7.13,-5.83,1.11,-0.4,3.0,3.0,3.0,Value,Large,37586.17,2050000000.0,-20.21
AAIIX,2004-01-04,1.39,4.34,2.7,9.81,10.12,0.16,1.19,-1.6,0.94,0.27,3.0,5.0,4.0,Value,Medium,14185.37,18330000.0,-1.47
AAINX,1987-07-15,0.92,3.2,2.55,8.4,5.68,0.19,1.97,-0.57,0.49,0.22,3.0,2.0,2.0,Value,Medium,14056.97,772000000.0,0.55
AAIPX,1994-07-31,1.05,3.28,-6.64,94.9,18.47,-0.36,-7.44,-6.19,1.11,-0.43,3.0,3.0,3.0,Value,Large,37586.17,2050000000.0,-20.43
AAISX,2003-04-30,1.2,3.03,-6.77,94.81,18.5,-0.37,-7.55,-6.32,1.11,-0.44,3.0,3.0,3.0,Value,Large,37586.17,2050000000.0,-20.53
AALGX,1987-07-15,1.01,1.2,3.54,92.94,17.67,0.2,1.87,3.94,1.05,0.42,3.0,3.0,3.0,Blend,Large,50344.78,1690000000.0,-2.93
AALRX,2017-02-27,0.59,2.46,0.51,92.17,20.79,0.05,-0.97,-9.98,1.12,0.23,2.0,4.0,3.0,Value,Large,52853.51,3790000000.0,-14.62
AALTX,2007-01-31,0.73,0.81,7.44,97.85,14.91,0.45,4.18,0.7,1.4,0.69,5.0,2.0,5.0,Blend,Large,75733.97,13680000000.0,2.77
AAMAX,2015-12-17,2.12,0.38,0.65,83.89,10.14,-0.04,-1.06,-4.21,0.88,0.1,3.0,2.0,3.0,Blend,Large,131505.55,20290000.0,-3.7
AAMCX,2015-12-17,2.87,0.0,-0.12,83.89,10.19,-0.12,-1.92,-4.99,0.89,0.03,2.0,2.0,2.0,Blend,Large,131505.55,20290000.0,-4.38
AAMIX,2015-12-17,1.87,0.52,0.69,83.89,10.15,-0.04,-1.01,-4.17,0.88,0.1,3.0,2.0,3.0,Blend,Large,131505.55,20290000.0,-3.7
AAMOX,2008-01-01,1.05,0.0,21.2,67.14,26.7,0.8,16.01,9.1,1.22,1.91,4.0,5.0,4.0,Growth,Medium,4379.92,2870000.0,25.4
AAMPX,2010-12-26,1.34,0.0,2.17,75.28,25.36,0.14,0.35,-8.67,1.3,0.45,1.0,4.0,2.0,Growth,Small,803.25,14090000.0,-4.89
